tag	Hierarchy1	mapAnnotationHierarchy	mapAnnotation
entertainment.sports.individual	Entertainment	Sports & Adventure	Sports & Adventure
entertainment.sports.other	Entertainment	Sports & Adventure	Sports & Adventure
news.sports	Entertainment	Sports & Adventure	Sports & Adventure
vlog.daily	Entertainment	Personal Anecdotes/Vlogs	Personal Anecdotes
vlog.travel	Entertainment	Personal Anecdotes/Vlogs	Personal Anecdotes
skills.diy.crafts	How-To & Tutorials	DIY & Crafts	DIY & Crafts
skills.diy.homeimprovement	How-To & Tutorials	DIY & Crafts	DIY & Crafts
skills.financial.personalfinance	How-To & Tutorials	Finance Tutorials	Finance Tutorials
skills.digital.graphicdesign	How-To & Tutorials	Tech & Creative Tutorials	Design/Editing Tutorials
skills.digital.videoediting	How-To & Tutorials	Tech & Creative Tutorials	Design/Editing Tutorials
skills.digital.coding	How-To & Tutorials	Tech & Creative Tutorials	Tech Tutorials
wellbeing.alternativemedicine	Lifestyle & Wellbeing	Alternative Health	Alternative Health
lifestyle.style.beauty	Lifestyle & Wellbeing	Beauty & Fashion	Beauty & Fashion
lifestyle.style.fashion	Lifestyle & Wellbeing	Beauty & Fashion	Beauty & Fashion
wellbeing.fitness	Lifestyle & Wellbeing	Fitness & Nutrition	Fitness
wellbeing.nutrition	Lifestyle & Wellbeing	Fitness & Nutrition	Nutrition
lifestyle.home	Lifestyle & Wellbeing	Home & Garden	Home & Garden
entertainment.reality.living	Lifestyle & Wellbeing	Lifestyle	Lifestyle
wellbeing.mentalhealth	Lifestyle & Wellbeing	Mental Health	Mental Health
growth.careerdevelopment	Lifestyle & Wellbeing	Personal Development	Personal Development
growth.motivational	Lifestyle & Wellbeing	Personal Development	Personal Development
entertainment.reality.dating	Lifestyle & Wellbeing	Relationships & Dating	Relationships
news.business	News/Commentary	News	News
news.domestic	News/Commentary	News	News
news.entertainment	News/Commentary	News	News
news.health	News/Commentary	News	News
news.international	News/Commentary	News	News
news.politics	News/Commentary	News	News
news.technology	News/Commentary	News	News
misc.conspiracy	Entertainment	Conspiracy	Conspiracy
religious.spirituality	Religion & Spirituality	Religion & Spirituality	Religion & Spirituality
religious.community	Religion & Spirituality	Religion & Spirituality	Religion & Spirituality
religious.culture	Religion & Spirituality	Religion & Spirituality	Religion & Spirituality
religious.guidelines	Religion & Spirituality	Religion & Spirituality	Religion & Spirituality
misc.productreview	Reviews	Product Reviews	Product Reviews
misc.unboxing	Reviews	Product Reviews	Product Reviews
