tag	map1	map2	map2.5	map3
lifestyle.food	food	lifestyle	lifestyle_wellbeing	lifestyle
lifestyle.home	home	lifestyle	lifestyle_wellbeing	lifestyle
news.business	business-news	business-news	business/finance	news
news.domestic	domestic-news	domestic-news	news	news
news.entertainment	entertainment-news	entertainment-news	news	news
news.health	health-news	health-news	news	news
news.international	geopolitical-news	geopolitical-news	news	news
news.politics	geopolitical-news	geopolitical-news	news	news
news.sports	sports-news	sports-news	sports	news
news.technology	technology	technology	tech/engineering	news
misc.conspiracy	conspiracy	conspiracy	others	edu
misc.internet	internet-culture	internet-culture	others	lifestyle
misc.lifehacks	internet-culture	internet-culture	others	edu
misc.productreview	product-reviews	product-reviews	reviews	edu
misc.unboxing	product-reviews	product-reviews	reviews	lifestyle
religious.spirituality	religion	religion	humanities/philosophy	lifestyle
religious.community	religion	religion	humanities/philosophy	lifestyle
religious.culture	religion	religion	humanities/philosophy	lifestyle
religious.guidelines	religion	religion	humanities/philosophy	lifestyle
skills.culinary.baking	culinary	culinary	culinary	tutorial
skills.culinary.cooking	culinary	culinary	culinary	tutorial
skills.digital.coding	software-tutorials	tutorial	tutorials	tutorial
skills.digital.graphicdesign	software-tutorials	tutorial	tutorials	tutorial
skills.digital.videoediting	software-tutorials	tutorial	tutorials	tutorial
skills.diy.crafts	diy	tutorial	tutorials	tutorial
skills.diy.homeimprovement	diy	tutorial	tutorials	tutorial
skills.financial.personalfinance	finance	finance	business/finance	tutorial
language.internationallanguage	languages	arts	arts/culture	edu
language.teachinglanguage	languages	arts	arts/culture	edu
vlog.daily	vlog	vlog	personal_vlogs	lifestyle
vlog.travel	vlog	vlog	personal_vlogs	lifestyle
wellbeing.alternativemedicine	alternative-medicine	wellbeing	lifestyle_wellbeing	lifestyle
wellbeing.fitness	fitness	wellbeing	lifestyle_wellbeing	lifestyle
wellbeing.mentalhealth	mental-health	wellbeing	lifestyle_wellbeing	lifestyle
wellbeing.nutrition	nutrition	wellbeing	lifestyle_wellbeing	lifestyle
